"Story","Title","Result","Date","Stability","Duration (s)"
"Olx test","Searching by keyword apple should display the corresponding article","FAILURE","2021-05-14T11:58:05.7602249+03:00[Europe/Bucharest]","0.0","10.34"
"Olx test","Initialisation","FAILURE","2021-05-14T13:18:52.9803212+03:00[Europe/Bucharest]","0.0","0.0"
"Olx test","Log in test","SUCCESS","2021-05-14T16:16:32.7854384+03:00[Europe/Bucharest]","0.0","13.91"
"Olx test","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-05-14T16:16:33.1511281+03:00[Europe/Bucharest]","0.0","1.08"
"Search by keyword story","Searching by keyword banana should display the corresponding article","IGNORED","2021-05-14T17:02:22.2620035+03:00[Europe/Bucharest]","0.0","0.43"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-05-14T17:02:22.8107928+03:00[Europe/Bucharest]","0.0","0.53"
"Search by keyword story","Searching by keyword apple should display the corresponding article","IGNORED","2021-05-14T17:02:23.6246151+03:00[Europe/Bucharest]","0.0","0.56"
"Param test","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-05-14T17:04:17.1974332+03:00[Europe/Bucharest]","0.0","1.71"
"Scenario test","Log in test","ERROR","2021-05-14T17:08:53.8708911+03:00[Europe/Bucharest]","0.0","10.81"
"Param test","Log in test","SUCCESS","2021-05-14T17:38:05.3252308+03:00[Europe/Bucharest]","0.0","14.93"
"Scenario test","Adauga test","SUCCESS","2021-05-14T17:48:53.2631871+03:00[Europe/Bucharest]","0.0","24.66"
"Scenario test","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-05-14T17:49:18.5986617+03:00[Europe/Bucharest]","0.0","0.44"
